Prefix	Name	Origin	Owner		
CDDU		DK	Container Providers International ApS.		

CDKU	containerland	DK	Containerland Danmark		

CDMU		DE	Container Depot München GmbH.		

CDNU		FR	Companie des Iles du Nord		

CDPU	crp saban	AR	Containers Rio de la Plata		

CDSU		CA	Cirque du Soleil Inc.		

CEAU		FR	TN International		

CECU		IL	Bromine Compounds Ltd.		

CECU		HK	China Eastern Containers Ltd.		

CECU		FR	CCR Containers S.A.S.		

CEFU		JP	Solar Energy Factory Co., Ltd.		

CEIU		CA	Conteneurs Experts sd.		

CELU	consort	PG	Consort Express Lines Ltd.		

CEMU	chemion	DE	Chemion Logistik GmbH.		

CENU	ce	JP	Chubu Ekiyu Co., Ltd.		

CENU		ES	Cuadros Electricos Nazerenos S.L.		

CEOU		US	Textainer Equipment Management Ltd.		

CEPU		IT	C.E.P. S.r.l.		

CERU	cory	GB	Riverside Resource Recovery Ltd.		

CESU	consent	US	CAI International Inc.		

CETU		GR	Carel S.A.		

