Prefix	Name	Origin	Owner		
ALNU		NL	CARU Containers BV.		

ALOU	air liquide	GB	Air Liquide Oil & Gases Services Ltd.		

ALOU	pic leasing	US	Precision International		

ALPU	jumbo	FR	Air Liquide Electronics Materials		

ALRU	almar	ZA	Almar Container Investments Inc.		

ALSU	air liquide	SE	Air Liquide AB.		

ALTU	algeco	DE	VTG AG.		

ALUU	isab	SE	Nordic Bulkers AB.		

ALVU	air liquide	CN	Air Liquide Electronics Materials & Zhang Jia Gang Co., Ltd.		

ALWU	air liquide	KR	Air Liquide Global Electronics Materials		

ALZU	alzamar	ES	Alzamar S.L.		

AMBE	ambrogio	IT	Ambrogio Trasporti S.p.A.		

AMBU		AR	Ambika S.r.l.		

AMCU	cma cgm	FR	CMA CGM		

AMEU		AE	Ace Cranes & Engineering Fz-LLC.		

AMFU	amficon	BM	Textainer Equipment Management Ltd.		

AMGU	amg	AU	Australian Movers Group		

AMGU		CA	Amgas Services Inc.		

AMHU		US	American Highway Inc.		

AMIU	amlf	IN	AMLF Logistics Pvt. Ltd.		

AMLU	aml	AU	Australian Moving Logistics		

AMLU	antillean line	US	Antillean Marine Shipping Corporation		

AMLU	aml	US	Alaska Marine Lines		

AMMU		IT	Ammann Italy SpA.		

AMOU		FI	Amomatic Oy.		

AMPU		SG	Aik Moh Paints & Chemicals Pte. Ltd.		

AMSU	ams	VN	Amasis Shipping Company Ltd.		

AMTU	super shuttle	PH	Asian Marine Transport Corporation		

AMXU		IT	Autamarocchi S.p.A.		

AMZU	amficon	BM	Textainer Equipment Management Ltd.		

ANDU		BE	Andrex Bvba.		

ANEU		IT	Ansaldo Energia SpA.		

ANGU		AO	Angola LNG Ltd.		

ANHU	anhalt	DE	Spedition Horst Anhalt GmbH. & Co. KG.		

ANLU	multicontainer	UY	Analco S.A..		

ANNU	anl	AU	CMA CGM (ex Australian National Line)		

ANOU	air products	NO	Air Products and Chemicals Inc.		

ANSU	akzo nobel	CN	Akzo Nobel Thioplast Chemicals (Taixing) Co., Ltd.		

ANYU	one way	US	One Way Leasing Inc.		

AOCU	octel	GB	Innospec Ltd.		

AOEU	aga	SE	Aga Gas AB.		

AONU	nec	US	NEC Energy Solutions		

AOPU	senko	JP	Senko Co., Ltd.		

AORU		SG	OEG Asia Pacific Pte. Ltd.		

APAU	mackay	AU	Multi Rack Pty. Ltd.		

APAU	apr energy	US	APR Energy LLC.		

APDU	apl	FR	CMA CGM		

APEU	atlas	AE	Al Shirawi Equipment Co. LLC.		

APGU					

APHU	apl	FR	CMA CGM		

APIU	apl	FR	CMA CGM		

APLU	apl	FR	CMA CGM		

APMU	maersk	DK	Maersk Line A/S		

APNU	aqua pharma	NO	Aqua Pharma A/S.		

APRU	apl	FR	CMA CGM		

APSU	cat	US	Altorfer Power Systems Inc.		

APTU					

APVU		JP	Sun Fluoro System Co., Ltd.		

APXU		MY	Apex Global Engineering Sdn. Bhd.		

APXU	apps	CA	APPS Transport Group		

APZU	apl	FR	CMA CGM		

AQAU		RU	Operator LLC.		

ARAU		KR	Ara F&D Co., Ltd.		

ARCU	arcline	MU	ArcLine Shipping /Sunmarine Shipping Services		

ARDU		NL	CARU Containers BV.		

ARFU		ES	Ministerio de Defensa		

ARGU		IL	Maxima Air Separation Centre Ltd.		

ARKU	arkas	TR	Arkas Shipping & Transport		

ARKU	ark				

ARMU	adaptainer	GB	Adaptainer Leasing Ltd.		

ARPU		ES	Equipos Móviles de Campaña ARPA S.A.U.		

ARRM	amg	AU	A+R Removals / Australian Movers Group		

ARRU	argon	GB	Argon Isotank Ltd.		

ARTU		NL	CARU Containers BV.		

ARVU		RU	ARV - Trading Co., Ltd.		

ASAU	asahi	JP			

ASCU		NL	ABS Containers BV.		

ASDT	royal wolf	AU	Aurizon Holdings Ltd.		

ASDU		RU	Vyislanko Tatiana Petrovna Pvt. Ltd.		

ASDV	aurizon	AU	Aurizon Holdings Ltd.		

ASGU	nordic bulkers	SE	Nordic Bulkers AB.		

ASIU	alliance shippers	US	Alliance Shippers Inc.		

ASKC	arimura sangyo	JP	Arimura Sangyo		

ASKS	arimura sangyo	JP	Arimura Sangyo		

ASKU	ask	JP	Asuka Co., Ltd.		

ASKU		US	AS Trucking Group LLC.		

ASLU	aleson	PH	Aleson Shipping Lines Inc.		

ASLU		AE	Alligator Shipping Co. LLC.		

ASMU		RU	Alpas Serviss Ltd.		

ASNU	alisan	TR	Alisan Uluslararasi Tasimacilik ve Ticaret A.S.		

ASPU		NO	Tank Management A/S.		

ASQU	ascanio quimica	ES	Ascanio Química S.A..		

ASRU		SI	Generalny Stab Armady Slovenskej Republiky		

ASSU	sas	IT	Societa Autotrasporti Speciali SpA.		

ASTU		KZ	Almaly TK.		

ASUU		CH	Alcosuisse		

ATAU		FR	Amato Transports Affretement		

ATBE	a2b-online	NL	A2B - Online BV.		

ATBU		DE	A-Tainer & Service		

ATCU	allseas	NL	Allseas Engineering BV.		

ATEU					

ATIU	sati	NL	Eurotainer S.A.		

ATKU		MY	Active Tank Sdn. Bhd.		

ATKU	seatrade	US	CAI International Inc.		

ATLU		NL	Albatross Tank Leasing BV.		

ATOU		FR	Arkema		

ATRF	aurizon	AU	Aurizon Holdings Ltd.		

ATRU		PL	Anel Mitoraj Andrzej i Motoraj Elzbieta		

ATSU		AU	Australian Nuclear Science & Technology Organisation		

ATSU		CA	ATS Containers Inc.		

ATSU	ats				

ATTU	ati	AE	ATI Freight LLC.		

ATVU	altermij	NL	Peacock Container BV.		

ATXU	ats	US	Anderson Trucking Services		

AUCU	austrans	AU	Austrans Container Service		

AUGU	augustin	AT	Quehenberger Freight GmbH.		

AUSM	amg	AU	Aussiemove / Australian Movers Group		

AUSU		AU	CEC Systems Pty. Ltd.		

AUSU	austrans	AU	Austrans Container Service		

AUTU	autozat	PL	Zaklad Transportu Samochodowego „Autozat” Sp. z.o.o.		

AVCU		US	Amvac Chemical Corporation		

AVGU		RU	Avrora Logistics		

AVHU		RU	O.A.O. Atomspetstrans		

